"sample_pt","site_id","site_name","type","site_type","transect","latitude","longitude","project_co","subsite","geometry","idwSN_mix","idwSN_imp","landscape_iji_mix_mean","landscape_iji_imp_mean","landscape_iji_1000","landscape_iji_250","prop_seminat_250","prop_seminat_1000"
"ED01","east_delta","point","bumble point","Point",49.0954133,-122.9487118,"FVBomb","eastdelta3","c(-13686587.9912649"," 6291066.56915578)",86833.9412766045,139531.000039187,61.927189261053,54.6494839828407,54.6300906554407,NA,NA,0.0812070168919757
"ED02","east_delta","point","bumble point","Point",49.0907749,-122.9404472,"FVBomb",NA,"c(-13685667.9802013"," 6290278.05485653)",151589.417237438,213706.914114468,60.4047029242545,59.0311895568773,59.0138761113979,61.6911478304174,0.203109706930914,0.109780495633676
"ED03","east_delta","point","bumble point","Point",49.0987358,-122.946095,"FVBomb",NA,"c(-13686296.6904214"," 6291631.42963411)",59408.1616670663,96378.7435546594,43.0746616099556,51.8400088183409,51.4379171340287,56.1328678575284,0.0358090118416715,0.0485091803315195
"ED03A","east_delta","point","bumble point","Point",49.0974676,-122.9461089,"FVBomb","eastdelta3","c(-13686298.2377624"," 6291415.8176303)",69752.672218646,112833.071636119,52.479369247242,56.1098261512667,55.8749543989997,48.6564929855135,0.0715843502429425,0.0544281334980829
"ED04","east_delta","point","bumble point","Point",49.0927295,-122.9514265,"FVBomb","eastdelta3","c(-13686890.1902866"," 6290610.32210145)",141550.088280406,204235.265751342,57.3034048931509,54.6254434082383,54.5717022221785,77.1733125719459,0.115182927447739,0.107788044851055
"ED05","east_delta","point","bumble point","Point",49.0935866,-122.9462978,"FVBomb","eastdelta3","c(-13686319.2660142"," 6290756.02675733)",125675.782998025,179783.48462441,57.5732003542986,54.5196607715791,54.4793476094045,86.0089659911263,0.139025961182479,0.0922923389764942
"ED06","east_delta","point","bumble point","Point",49.0937503,-122.9571174,"FVBomb","eastdelta3","c(-13687523.6983768"," 6290783.85559574)",141189.256941955,204254.836356334,54.7006333863375,55.0954852984369,55.0396940470494,55.8055754962647,0.0635732035093057,0.111542126016189
"ED07","east_delta","point","bumble point","Point",49.0970105,-122.9571978,"FVBomb","eastdelta3","c(-13687532.6484638"," 6291338.10549178)",73081.8771296747,117461.185951409,60.2504481346334,58.018151277328,57.8664080512936,65.3883731818097,0.0927978822670291,0.0509988019593659
"ED08","east_delta","point","bumble point","Point",49.0997958,-122.9571976,"FVBomb",NA,"c(-13687532.6261999"," 6291811.64890904)",79541.5427488011,139018.835196546,60.7702179980567,57.2568036052301,57.3755428109381,67.1183172445029,0.0738251970260977,0.0553242240798728
"ED09","east_delta","point","bumble point","Point",49.1028941,-122.9571922,"FVBomb","eastdelta2","c(-13687532.0250747"," 6292338.43831645)",216619.593034534,374727.020930177,62.1847295484451,61.3327644938102,61.523002082404,78.2104689099047,0.0623618070065115,0.184997184586166
