"","sites","sppyear","id","year","taskid","lower","ML","upper"
"1","ED","mix2022",1,2022,1,NA,NA,NA
"2","PM","mix2022",1,2022,2,NA,NA,NA
"3","HR","mix2022",1,2022,3,NA,NA,NA
"4","SD","mix2022",1,2022,4,NA,NA,NA
"5","W","mix2022",1,2022,5,NA,NA,NA
"6","NR","mix2022",1,2022,6,NA,NA,NA
"7","ED","mix2023",2,2023,7,NA,NA,NA
"8","PM","mix2023",2,2023,8,NA,NA,NA
"9","HR","mix2023",2,2023,9,NA,NA,NA
"10","SD","mix2023",2,2023,10,NA,NA,NA
"11","W","mix2023",2,2023,11,NA,NA,NA
"12","NR","mix2023",2,2023,12,NA,NA,NA
"13","ED","imp2022",3,2022,13,NA,NA,NA
"14","PM","imp2022",3,2022,14,NA,NA,NA
"15","HR","imp2022",3,2022,15,NA,NA,NA
"16","SD","imp2022",3,2022,16,NA,NA,NA
"17","W","imp2022",3,2022,17,NA,NA,NA
"18","NR","imp2022",3,2022,18,NA,NA,NA
"19","ED","imp2023",4,2023,19,NA,NA,NA
"20","PM","imp2023",4,2023,20,NA,NA,NA
"21","HR","imp2023",4,2023,21,NA,NA,NA
"22","SD","imp2023",4,2023,22,813,909,1392.025
"23","W","imp2023",4,2023,23,NA,NA,NA
"24","NR","imp2023",4,2023,24,NA,NA,NA
