"","layer","level","class","id","metric","value","plot_id","percentage_inside"
"1",1,"class",1,NA,"ca",286.036301486479,"ED01",96.8895903308437
"2",1,"class",2,NA,"ca",2.62298269534218,"ED01",96.8895903308437
"3",1,"class",3,NA,"ca",131.840976336551,"ED01",96.8895903308437
"4",1,"class",4,NA,"ca",41.3551425730917,"ED01",96.8895903308437
"5",1,"class",5,NA,"ca",8.5778843288776,"ED01",96.8895903308437
"6",1,"class",6,NA,"ca",11.6493558493944,"ED01",96.8895903308437
"7",1,"class",7,NA,"ca",25.5616351577184,"ED01",96.8895903308437
"8",1,"class",8,NA,"ca",10.7851108569008,"ED01",96.8895903308437
"9",1,"class",9,NA,"ca",63.6615063383025,"ED01",96.8895903308437
"10",1,"class",10,NA,"ca",39.8261761321281,"ED01",96.8895903308437
"11",1,"class",11,NA,"ca",5.26481665960649,"ED01",96.8895903308437
"12",1,"class",12,NA,"ca",2.16078385640599,"ED01",96.8895903308437
"13",1,"class",13,NA,"ca",11.8998635070937,"ED01",96.8895903308437
"14",1,"class",14,NA,"ca",46.1230997652211,"ED01",96.8895903308437
"15",1,"class",15,NA,"ca",12.5787662510484,"ED01",96.8895903308437
"16",1,"class",1,NA,"ca",291.567306631738,"ED01A",95.6981390168136
"17",1,"class",2,NA,"ca",2.52431344004956,"ED01A",95.6981390168136
"18",1,"class",3,NA,"ca",121.713132108018,"ED01A",95.6981390168136
"19",1,"class",4,NA,"ca",41.3664961781974,"ED01A",95.6981390168136
"20",1,"class",5,NA,"ca",7.43078461495877,"ED01A",95.6981390168136
"21",1,"class",6,NA,"ca",4.26441409293934,"ED01A",95.6981390168136
"22",1,"class",7,NA,"ca",28.8085948543547,"ED01A",95.6981390168136
"23",1,"class",8,NA,"ca",11.1871141666542,"ED01A",95.6981390168136
"24",1,"class",9,NA,"ca",63.1418539728848,"ED01A",95.6981390168136
"25",1,"class",10,NA,"ca",40.7223397503703,"ED01A",95.6981390168136
"26",1,"class",11,NA,"ca",5.27488495095745,"ED01A",95.6981390168136
"27",1,"class",12,NA,"ca",2.17470808913043,"ED01A",95.6981390168136
"28",1,"class",13,NA,"ca",11.9218852166865,"ED01A",95.6981390168136
"29",1,"class",14,NA,"ca",46.6835822652646,"ED01A",95.6981390168136
"30",1,"class",15,NA,"ca",12.6719515008214,"ED01A",95.6981390168136
"31",1,"class",1,NA,"ca",279.173968317097,"ED02",85.4937310373118
"32",1,"class",2,NA,"ca",3.76811159477544,"ED02",85.4937310373118
"33",1,"class",3,NA,"ca",61.1287098272348,"ED02",85.4937310373118
"34",1,"class",4,NA,"ca",41.352657633097,"ED02",85.4937310373118
"35",1,"class",5,NA,"ca",6.08471832634,"ED02",85.4937310373118
"36",1,"class",6,NA,"ca",0.788154416116988,"ED02",85.4937310373118
"37",1,"class",7,NA,"ca",44.0171988076538,"ED02",85.4937310373118
"38",1,"class",8,NA,"ca",12.3363132264338,"ED02",85.4937310373118
"39",1,"class",9,NA,"ca",58.8489059138614,"ED02",85.4937310373118
"40",1,"class",10,NA,"ca",43.2932243934581,"ED02",85.4937310373118
"41",1,"class",11,NA,"ca",5.12356067406948,"ED02",85.4937310373118
"42",1,"class",12,NA,"ca",2.01571477329159,"ED02",85.4937310373118
"43",1,"class",13,NA,"ca",11.8002516883573,"ED02",85.4937310373118
"44",1,"class",14,NA,"ca",35.9463707689886,"ED02",85.4937310373118
"45",1,"class",15,NA,"ca",12.9894240069996,"ED02",85.4937310373118
"46",1,"class",1,NA,"ca",239.037517436029,"ED03",97.9530570018462
"47",1,"class",2,NA,"ca",1.22636073097046,"ED03",97.9530570018462
"48",1,"class",3,NA,"ca",155.073322999974,"ED03",97.9530570018462
"49",1,"class",4,NA,"ca",31.1420391965981,"ED03",97.9530570018462
"50",1,"class",5,NA,"ca",16.6610942237211,"ED03",97.9530570018462
"51",1,"class",6,NA,"ca",49.4554899851368,"ED03",97.9530570018462
"52",1,"class",7,NA,"ca",38.7635215342286,"ED03",97.9530570018462
"53",1,"class",8,NA,"ca",9.38137682289022,"ED03",97.9530570018462
"54",1,"class",9,NA,"ca",64.8821688448026,"ED03",97.9530570018462
"55",1,"class",10,NA,"ca",33.7815595960402,"ED03",97.9530570018462
"56",1,"class",11,NA,"ca",4.22405523993292,"ED03",97.9530570018462
"57",1,"class",12,NA,"ca",2.16082670019897,"ED03",97.9530570018462
"58",1,"class",13,NA,"ca",11.9007203829537,"ED03",97.9530570018462
"59",1,"class",14,NA,"ca",37.8955491317436,"ED03",97.9530570018462
"60",1,"class",15,NA,"ca",11.186557197356,"ED03",97.9530570018462
"61",1,"class",1,NA,"ca",259.825582864739,"ED03A",97.9190825000685
"62",1,"class",2,NA,"ca",1.39653627678571,"ED03A",97.9190825000685
"63",1,"class",3,NA,"ca",144.027679037813,"ED03A",97.9190825000685
"64",1,"class",4,NA,"ca",36.8536309296597,"ED03A",97.9190825000685
"65",1,"class",5,NA,"ca",15.0475112915733,"ED03A",97.9190825000685
"66",1,"class",6,NA,"ca",30.5609059882811,"ED03A",97.9190825000685
"67",1,"class",7,NA,"ca",37.4704958613434,"ED03A",97.9190825000685
"68",1,"class",8,NA,"ca",10.0292178169166,"ED03A",97.9190825000685
