"","site","round","sample_pt","sample_id","year","barcode_id","active_flower","final_id","notes","pollen","lat","long","ClusterIndex"
"1","ED",1,"ED05","1_ED05",2022,"ED1_05_01","RUPA","B. impatiens","","y","49.0935866","-122.9462978",1
"2","ED",1,"ED20","1_ED20",2022,"ED1_20_01","VACO","B. mixtus","","2","49.1038044","-122.9295192",644
"3","ED",1,"ED32","1_ED32",2022,"ED1_32_01","MADO","B. mixtus","","1","49.0910852","-122.9303897",576
"4","ED",10,"ED01","10_ED01",2022,"ED10_01_01","CIVU","B. impatiens","","n","49.0954133","-122.9487118",62
"5","ED",10,"ED01","10_ED01",2022,"ED10_01_03","CIVU","B. impatiens","","y","49.0954133","-122.9487118",250
"6","ED",10,"ED01","10_ED01",2022,"ED10_01_04","BIAMP","B. impatiens","","y","49.0954133","-122.9487118",33
"7","ED",10,"ED01","10_ED01",2022,"ED10_01_05","BIAMP","B. impatiens","","y","49.0954133","-122.9487118",251
"8","ED",10,"ED03A","10_ED03A",2022,"ED10_03A_01","RARA","B. impatiens","","y","49.0974676","-122.9461089",252
"9","ED",10,"ED04","10_ED04",2022,"ED10_04_01","TAVU","B. impatiens","","y","49.0927295","-122.9514265",253
"10","ED",10,"ED06","10_ED06",2022,"ED10_06_01","JAVU","B. impatiens","","y","49.0937503","-122.9571174",254
"11","ED",10,"ED08","10_ED08",2022,"ED10_08_01","HYRA","B. impatiens","","y","49.0997958","-122.9571976",255
"12","ED",10,"ED09","10_ED09",2022,"ED10_09_01","TRRE","B. impatiens","","n","49.1028941","-122.9571922",153
"13","ED",10,"ED09","10_ED09",2022,"ED10_09_02","TAOF","B. impatiens","","n","49.1028941","-122.9571922",144
"14","ED",10,"ED09","10_ED09",2022,"ED10_09_03","TAOF","B. impatiens","","y","49.1028941","-122.9571922",256
"15","ED",10,"ED09","10_ED09",2022,"ED10_09_04","TAOF","B. impatiens","","n","49.1028941","-122.9571922",257
"16","ED",10,"ED09","10_ED09",2022,"ED10_09_05","TAOF","B. impatiens","","n","49.1028941","-122.9571922",258
"17","ED",10,"ED09","10_ED09",2022,"ED10_09_06","TAOF","B. impatiens","","y","49.1028941","-122.9571922",259
"18","ED",10,"ED10","10_ED10",2022,"ED10_10_01","HYRA","B. impatiens","","n","49.1053113","-122.9572629",260
"19","ED",10,"ED10","10_ED10",2022,"ED10_10_02","N/A (leaf)","B. impatiens","","n","49.1053113","-122.9572629",261
"20","ED",10,"ED11","10_ED11",2022,"ED10_11_03","MEAL","B. impatiens","","y","49.0998336","-122.9364988",41
"21","ED",10,"ED11","10_ED11",2022,"ED10_11_04","flying","B. impatiens","","y","49.0998336","-122.9364988",262
"22","ED",10,"ED12","10_ED12",2022,"ED10_12_01","TRRE","B. impatiens","","y","49.0941941","-122.9295817",263
