"","ClusterIndex","Probability","OffspringID","FatherID","MotherID"
"1","1",1,"ED1_05_01","*1","#1"
"2","1",1,"ED5_27_08","*1","#1"
"3","2",1,"ED2_02_01","*2","#2"
"4","2",1,"ED8_13_01","*2","#2"
"5","3",1,"ED2_02_02","*3","#3"
"6","3",1,"NR1_22_04","*3","#3"
"7","4",1,"ED2_28_02","*4","#4"
"8","4",1,"ED9_25A_03","*4","#4"
"9","5",1,"ED3_12_01","*5","#5"
"10","5",1,"NR8_24_04","*5","#5"
"11","6",1,"ED3_12_02","*6","#6"
"12","7",1,"ED3_17_01","*7","#7"
"13","8",1,"ED3_20A_01","*8","#8"
"14","9",1,"ED3_28_02","*9","#9"
"15","9",1,"ED9_19A_15","*9","#9"
"16","843",0.7845,"ED3_28_03","*10","#10"
"17","844",0.7845,"SD6_37_06","*10","#10"
"18","11",1,"ED3_31_01","*11","#11"
"19","11",1,"ED6_19A_10","*11","#11"
"20","11",1,"ED7_19A_17","*11","#11"
"21","12",1,"ED4_10_07","*12","#12"
"22","13",1,"ED4_12_01","*13","#13"
"23","13",1,"ED7_17_01","*13","#13"
"24","13",1,"ED8_17_02","*13","#13"
"25","13",1,"ED9_17_07","*13","#13"
"26","13",1,"ED11_17_01","*13","#13"
"27","845",0.496,"ED4_12_02","*14","#14"
"28","846",0.496,"ED20_10_01","*14","#14"
"29","15",1,"ED4_13_01","*15","#15"
"30","15",1,"W6_36_05","*15","#15"
"31","16",0.9644,"ED4_31_01","*16","#16"
"32","17",1,"ED5_01_03","*17","#17"
"33","17",1,"PM14_56_01","*17","#17"
"34","18",1,"ED5_07_02","*18","#18"
"35","18",1,"ED7_10_02","*18","#18"
"36","19",1,"ED5_10_02","*19","#19"
"37","19",1,"W4_26_04","*19","#19"
"38","19",1,"W9_10_04","*19","#19"
"39","20",1,"ED5_10_05","*20","#20"
"40","20",1,"ED7_19A_15","*20","#20"
"41","21",1,"ED5_10_07","*21","#21"
"42","21",1,"NR7_25_05","*21","#21"
"43","22",1,"ED5_11_02","*22","#22"
"44","23",1,"ED5_11_03","*23","#23"
"45","24",1,"ED5_22B_01","*24","#24"
"46","25",1,"ED5_24A_01","*25","#25"
"47","26",1,"ED5_27A_02","*26","#26"
"48","27",1,"ED5_32_03","*27","#27"
"49","27",1,"PM7_55_01","*27","#27"
"50","28",1,"ED6_01_01","*28","#28"
"51","29",1,"ED6_01_04","*29","#29"
"52","29",1,"ED6_06_05","*29","#29"
"53","30",1,"ED6_01_05","*30","#30"
"54","30",1,"ED7_06_06","*30","#30"
"55","30",1,"ED16_07_01","*30","#30"
"56","31",1,"ED6_01_06","*31","#31"
"57","31",1,"NR9_22_02","*31","#31"
"58","32",1,"ED6_01_07","*32","#32"
"59","33",1,"ED6_02_01","*33","#33"
