"","ClusterIndex","Probability","OffspringID","FatherID","MotherID"
"1","1",1,"W22_05_08","*1","#1"
"2","1",1,"W21_05_01","*1","#1"
"3","1",1,"W20_05_04","*1","#1"
"4","2",1,"W22_18_04","*2","#2"
"5","2",1,"W21_18_12","*2","#2"
"6","3",1,"W22_15_01","*3","#3"
"7","773",0.2828,"W22_32_01","*4","#4"
"8","774",0.2828,"NR19_44_12","*4","#4"
"9","5",1,"W22_15_03","*5","#5"
"10","6",1,"W22_05_05","*6","#6"
"11","6",1,"W25_05_04","*6","#6"
"12","6",1,"W25_05_10","*6","#6"
"13","7",1,"W22_35_01","*7","#7"
"14","8",1,"W22_05_03","*8","#8"
"15","8",1,"ED20_33_06","*8","#8"
"16","9",1,"W22_17_02","*9","#9"
"17","9",1,"NR20_15A_01","*9","#9"
"18","10",1,"W22_18_03","*10","#10"
"19","11",1,"W22_35_03","*11","#11"
"20","11",1,"W18_33_03","*11","#11"
"21","12",1,"W22_09_01","*12","#12"
"22","12",1,"NR19_19_01","*12","#12"
"23","13",1,"W22_16_01","*13","#13"
"24","13",1,"W18_33_01","*13","#13"
"25","775",0.2828,"W22_05_09","*14","#14"
"26","776",0.2828,"HR18_32_14","*14","#14"
"27","15",1,"W22_01_01","*15","#15"
"28","15",1,"PM22_47_01","*15","#15"
"29","16",1,"W22_02_02","*16","#16"
"30","16",1,"W20_10_01","*16","#16"
"31","17",1,"W22_17_01","*17","#17"
"32","17",1,"PM17_49_01","*17","#17"
"33","18",1,"W22_35_02","*18","#18"
"34","18",1,"ED21_11_02","*18","#18"
"35","18",1,"W19_33_02","*18","#18"
"36","19",1,"W21_15_01","*19","#19"
"37","20",1,"W22_20_01","*20","#20"
"38","20",1,"HR20_33_09","*20","#20"
"39","21",1,"W22_05_10","*21","#21"
"40","21",1,"ED20_10_07","*21","#21"
"41","22",1,"W22_05_11","*22","#22"
"42","22",1,"HR19_12_02","*22","#22"
"43","23",1,"W22_02_01","*23","#23"
"44","24",1,"W22_05_12","*24","#24"
"45","25",1,"W22_05_06","*25","#25"
"46","26",1,"W21_28_01","*26","#26"
"47","27",1,"W21_18_04","*27","#27"
"48","27",1,"HR19_27_04","*27","#27"
"49","28",1,"W22_05_07","*28","#28"
"50","28",1,"W22_05_04","*28","#28"
"51","777",0.7657,"W21_22_01","*29","#29"
"52","30",0.9964,"W21_18_07","*30","#30"
"53","30",0.9964,"W19_29_01","*30","#30"
"54","31",1,"W21_18_01","*31","#31"
"55","31",1,"HR17_32_07","*31","#31"
"56","32",1,"W21_05_03","*32","#32"
"57","32",1,"W21_05_06","*32","#32"
"58","778",0.5935,"W21_18_15","*33","#33"
"59","34",1,"W21_18_06","*34","#34"
"60","34",1,"PM21_65_04","*34","#34"
"61","35",1,"W21_05_05","*35","#35"
"62","35",1,"W21_05_04","*35","#35"
"63","35",1,"W20_05_09A","*35","#35"
"64","35",1,"W20_05_05","*35","#35"
"65","35",1,"W19_10_02","*35","#35"
"66","36",1,"W21_18_10","*36","#36"
"67","36",1,"W23_18_01","*36","#36"
"68","37",1,"W21_01_06","*37","#37"
"69","37",1,"NR20_01_08","*37","#37"
"70","38",1,"W21_01_07","*38","#38"
"71","779",0.8298,"W21_05_02","*39","#39"
"72","40",1,"W21_01_04","*40","#40"
"73","40",1,"HR19_32_05","*40","#40"
"74","41",1,"W21_18_13","*41","#41"
"75","42",1,"W21_15_02","*42","#42"
"76","42",1,"HR19_23_06","*42","#42"
"77","43",1,"W21_21_02","*43","#43"
"78","44",1,"W21_18_08","*44","#44"
"79","45",1,"W21_13_01","*45","#45"
"80","45",1,"ED21_05_02","*45","#45"
"81","46",1,"W21_05_07","*46","#46"
"82","46",1,"ED21_33_01","*46","#46"
"83","47",1,"W21_18_11","*47","#47"
"84","47",1,"W15_18_01","*47","#47"
"85","48",1,"W21_18_05","*48","#48"
"86","48",1,"PM21_70_05","*48","#48"
"87","49",1,"W21_21_03","*49","#49"
"88","49",1,"ED18_11_01","*49","#49"
"89","50",1,"W21_18_02","*50","#50"
"90","51",1,"W21_05_08","*51","#51"
"91","51",1,"W20_05_08","*51","#51"
"92","52",1,"W21_24_01","*52","#52"
"93","53",1,"W21_18_03","*53","#53"
"94","53",1,"W20_18_03","*53","#53"
"95","54",1,"W20_05_11","*54","#54"
"96","54",1,"W25_05_01","*54","#54"
"97","54",1,"W25_05_06","*54","#54"
"98","54",1,"W18_05_01","*54","#54"
"99","55",1,"W20_05_12","*55","#55"
"100","56",1,"W20_09_04","*56","#56"
"101","780",0.8789,"W21_18_14","*57","#57"
"102","781",0.8789,"W20_18_05","*57","#57"
"103","58",1,"W21_18_09","*58","#58"
"104","58",1,"W20_18_04","*58","#58"
"105","59",1,"W21_13_02","*59","#59"
"106","59",1,"HR21_12_07","*59","#59"
"107","60",1,"W21_02_01","*60","#60"
"108","61",1,"W21_16_03","*61","#61"
"109","61",1,"W20_15_04","*61","#61"
"110","62",0.9829,"W20_09_01","*62","#62"
"111","62",0.9829,"W19_13_01","*62","#62"
"112","63",1,"W20_29_04","*63","#63"
"113","63",1,"W14_29_01","*63","#63"
"114","64",1,"W21_21_01","*64","#64"
"115","64",1,"W19_29_05","*64","#64"
"116","65",1,"W21_01_03","*65","#65"
"117","65",1,"W20_05_13","*65","#65"
"118","782",0.7104,"W20_08_01","*66","#66"
"119","783",0.7104,"HR19_26_01","*66","#66"
"120","67",1,"W20_02_01","*67","#67"
"121","67",1,"PM20_54A_01","*67","#67"
"122","68",1,"W20_09_05","*68","#68"
"123","68",1,"W18_29_02","*68","#68"
"124","69",0.9889,"NR19_29_02","*69","#69"
"125","70",1,"NR19_01_02","*70","#70"
"126","70",1,"ED20_10_15","*70","#70"
"127","71",1,"NR19_05A_02","*71","#71"
"128","71",1,"ED22_35_01","*71","#71"
"129","72",1,"NR19_16_03","*72","#72"
"130","73",1,"NR19_27_03","*73","#73"
"131","73",1,"NR20_27_10","*73","#73"
"132","74",1,"NR19_07A_02","*74","#74"
"133","74",1,"HR17_32_04","*74","#74"
"134","75",1,"NR19_08_01","*75","#75"
"135","75",1,"W20_09_07","*75","#75"
"136","76",0.9991,"NR19_05A_03","*76","#76"
"137","77",1,"NR19_25_02","*77","#77"
"138","77",1,"PM23_43_01","*77","#77"
"139","78",1,"NR19_44_13","*78","#78"
"140","79",1,"NR19_27_05","*79","#79"
"141","79",1,"NR18_27_03","*79","#79"
"142","79",1,"NR22_27_03","*79","#79"
"143","79",1,"NR20_27_05","*79","#79"
"144","80",1,"NR19_08_06","*80","#80"
"145","80",1,"HR23_36_01","*80","#80"
"146","81",1,"NR19_14B_01","*81","#81"
"147","81",1,"NR20_30A_05","*81","#81"
"148","82",1,"NR19_01_01","*82","#82"
"149","83",1,"NR19_29_03","*83","#83"
"150","83",1,"ED22_25A_01","*83","#83"
