[1] reduce_sum_exponential.stan
Levels: reduce_sum_exponential.stan reduce_sum_exponentialGQ.stan
[1] 4
[1] "Starting sampling."
Running MCMC with 4 parallel chains, with 4 thread(s) per chain...

Chain 1 Iteration:    1 / 6000 [  0%]  (Warmup) 
Chain 2 Iteration:    1 / 6000 [  0%]  (Warmup) 
Chain 2 dis: 413.15, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.159276, zeta[i]: -0.867804, eps[k]: -1.18416, lambda: -inf 
Chain 2 dis: 411.576, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.85836, zeta[i]: -0.867804, eps[k]: -0.162133, lambda: -inf 
Chain 2 dis: 423.494, rho: 2.84347e-250 , theta: -980.941, floral[k]: -0.511352, zeta[i]: -0.867804, eps[k]: 0.173276, lambda: -2.1291e+34 
Chain 2 dis: 447.828, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.745178, zeta[i]: -0.867804, eps[k]: -1.30354, lambda: -inf 
Chain 2 dis: 482.703, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.02998, zeta[i]: -0.867804, eps[k]: -2.41841, lambda: -inf 
Chain 2 dis: 338.723, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.34103, zeta[i]: -0.867804, eps[k]: -2.89754, lambda: -inf 
Chain 2 dis: 351.266, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.18965, zeta[i]: -0.867804, eps[k]: -57.2551, lambda: -inf 
Chain 2 dis: 380.25, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.04431, zeta[i]: -0.867804, eps[k]: -192.193, lambda: -inf 
Chain 2 dis: 420.764, rho: 2.84347e-250 , theta: -980.941, floral[k]: -0.509924, zeta[i]: -0.867804, eps[k]: -0.0133755, lambda: -8.58716e+34 
Chain 2 dis: 264.62, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.07972, zeta[i]: -0.867804, eps[k]: -11.6507, lambda: -inf 
Chain 2 dis: 262.156, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.877506, zeta[i]: -0.867804, eps[k]: -1.59724, lambda: -inf 
Chain 2 dis: 280.496, rho: 2.84347e-250 , theta: -980.941, floral[k]: -0.528865, zeta[i]: -0.867804, eps[k]: 1.63816, lambda: -4.88196e+26 
Chain 2 dis: 363.775, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.958341, zeta[i]: -0.867804, eps[k]: -3.22185, lambda: -inf 
Chain 2 dis: 191.217, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.0841977, zeta[i]: -0.867804, eps[k]: -0.524956, lambda: -4.98102e+287 
Chain 2 dis: 187.793, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.32583, zeta[i]: -0.867804, eps[k]: -468.4, lambda: -inf 
Chain 2 dis: 212.646, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.644807, zeta[i]: -0.867804, eps[k]: -0.4514, lambda: -inf 
Chain 2 dis: 257.722, rho: 2.84347e-250 , theta: -980.941, floral[k]: -0.054427, zeta[i]: -0.867804, eps[k]: 0.484801, lambda: -5.8947e+228 
Chain 2 dis: 119.81, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.91243, zeta[i]: -0.867804, eps[k]: -142.352, lambda: -inf 
Chain 2 dis: 114.266, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.25655, zeta[i]: -0.867804, eps[k]: -0.987613, lambda: -inf 
Chain 2 dis: 151.687, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.464287, zeta[i]: -0.867804, eps[k]: -12.009, lambda: -inf 
