[1] "Starting sampling."
Running MCMC with 4 parallel chains, with 4 thread(s) per chain...

Chain 1 Iteration:    1 / 6000 [  0%]  (Warmup) 
Chain 1 dis: 181.629, rho: 0 , theta: 197.733, floral[k]: 0.159276, zeta[i]: 1.44089, eps[k]: 22.7374, lambda: -inf 
Chain 1 dis: 251.91, rho: 0 , theta: 197.733, floral[k]: 0.85836, zeta[i]: 1.44089, eps[k]: -47.1811, lambda: -inf 
Chain 1 dis: 324.312, rho: 0 , theta: 197.733, floral[k]: -0.511352, zeta[i]: 1.44089, eps[k]: -698.762, lambda: -inf 
Chain 1 dis: 397.678, rho: 0 , theta: 197.733, floral[k]: 0.745178, zeta[i]: 1.44089, eps[k]: 70.0279, lambda: -inf 
Chain 1 dis: 471.558, rho: 0 , theta: 197.733, floral[k]: 1.02998, zeta[i]: 1.44089, eps[k]: 98.5783, lambda: -inf 
Chain 1 dis: 223.147, rho: 0 , theta: 197.733, floral[k]: 0.34103, zeta[i]: 1.44089, eps[k]: -312.587, lambda: -inf 
Chain 1 dis: 283.309, rho: 0 , theta: 197.733, floral[k]: -0.989519, zeta[i]: 1.44089, eps[k]: -18.6779, lambda: -inf 
Chain 1 dis: 349.262, rho: 0 , theta: 197.733, floral[k]: 1.18965, zeta[i]: 1.44089, eps[k]: -539.189, lambda: -inf 
Chain 1 dis: 418.274, rho: 0 , theta: 197.733, floral[k]: 1.04431, zeta[i]: 1.44089, eps[k]: -410.836, lambda: -inf 
Chain 1 dis: 489.053, rho: 0 , theta: 197.733, floral[k]: -0.509924, zeta[i]: 1.44089, eps[k]: -839.767, lambda: -inf 
Chain 1 dis: 279.017, rho: 0 , theta: 197.733, floral[k]: 1.07972, zeta[i]: 1.44089, eps[k]: -65.4072, lambda: -inf 
Chain 1 dis: 329.12, rho: 0 , theta: 197.733, floral[k]: 0.877506, zeta[i]: 1.44089, eps[k]: 46.9255, lambda: -inf 
Chain 1 dis: 387.349, rho: 0 , theta: 197.733, floral[k]: -0.528865, zeta[i]: 1.44089, eps[k]: -155.019, lambda: -inf 
Chain 1 dis: 450.565, rho: 0 , theta: 197.733, floral[k]: -0.693816, zeta[i]: 1.44089, eps[k]: -263.408, lambda: -inf 
Chain 1 dis: 516.941, rho: 0 , theta: 197.733, floral[k]: 0.958341, zeta[i]: 1.44089, eps[k]: -221.843, lambda: -inf 
Chain 1 dis: 342.281, rho: 0 , theta: 197.733, floral[k]: 0.0841977, zeta[i]: 1.44089, eps[k]: -1024.52, lambda: -inf 
Chain 1 dis: 384.221, rho: 0 , theta: 197.733, floral[k]: 1.32583, zeta[i]: 1.44089, eps[k]: -514.016, lambda: -inf 
Chain 1 dis: 435.138, rho: 0 , theta: 197.733, floral[k]: 0.644807, zeta[i]: 1.44089, eps[k]: -788.671, lambda: -inf 
Chain 1 dis: 492.255, rho: 0 , theta: 197.733, floral[k]: -0.054427, zeta[i]: 1.44089, eps[k]: -52.259, lambda: -inf 
Chain 1 dis: 553.655, rho: 0 , theta: 197.733, floral[k]: -1.19589, zeta[i]: 1.44089, eps[k]: -43.0436, lambda: -inf 
Chain 1 dis: 409.526, rho: 0 , theta: 197.733, floral[k]: 1.91243, zeta[i]: 1.44089, eps[k]: -52.7396, lambda: -inf 
Chain 1 dis: 445.175, rho: 0 , theta: 197.733, floral[k]: 1.25655, zeta[i]: 1.44089, eps[k]: -183.938, lambda: -inf 
Chain 1 dis: 489.796, rho: 0 , theta: 197.733, floral[k]: 0.464287, zeta[i]: 1.44089, eps[k]: -118.321, lambda: -inf 
Chain 1 dis: 541.175, rho: 0 , theta: 197.733, floral[k]: -0.663781, zeta[i]: 1.44089, eps[k]: 20.4239, lambda: -inf 
Chain 1 dis: 597.57, rho: 0 , theta: 197.733, floral[k]: 0.936751, zeta[i]: 1.44089, eps[k]: -324.922, lambda: -inf 
Chain 1 dis: 212.916, rho: 0 , theta: 197.733, floral[k]: 0.159276, zeta[i]: -8.23635, eps[k]: 22.7374, lambda: -inf 
Chain 1 dis: 283.904, rho: 0 , theta: 197.733, floral[k]: 0.85836, zeta[i]: -8.23635, eps[k]: -47.1811, lambda: -inf 
Chain 1 dis: 356.538, rho: 0 , theta: 197.733, floral[k]: -0.511352, zeta[i]: -8.23635, eps[k]: -698.762, lambda: -inf 
Chain 1 dis: 429.985, rho: 0 , theta: 197.733, floral[k]: 0.745178, zeta[i]: -8.23635, eps[k]: 70.0279, lambda: -inf 
Chain 1 dis: 503.89, rho: 0 , theta: 197.733, floral[k]: 1.02998, zeta[i]: -8.23635, eps[k]: 98.5783, lambda: -inf 
Chain 1 dis: 250.688, rho: 0 , theta: 197.733, floral[k]: 0.34103, zeta[i]: -8.23635, eps[k]: -312.587, lambda: -inf 
Chain 1 dis: 313.229, rho: 0 , theta: 197.733, floral[k]: -0.989519, zeta[i]: -8.23635, eps[k]: -18.6779, lambda: -inf 
Chain 1 dis: 380.304, rho: 0 , theta: 197.733, floral[k]: 1.18965, zeta[i]: -8.23635, eps[k]: -539.189, lambda: -inf 
Chain 1 dis: 449.888, rho: 0 , theta: 197.733, floral[k]: 1.04431, zeta[i]: -8.23635, eps[k]: -410.836, lambda: -inf 
Chain 1 dis: 520.977, rho: 0 , theta: 197.733, floral[k]: -0.509924, zeta[i]: -8.23635, eps[k]: -839.767, lambda: -inf 
Chain 1 dis: 302.665, rho: 0 , theta: 197.733, floral[k]: 1.07972, zeta[i]: -8.23635, eps[k]: -65.4072, lambda: -inf 
Chain 1 dis: 356.194, rho: 0 , theta: 197.733, floral[k]: 0.877506, zeta[i]: -8.23635, eps[k]: 46.9255, lambda: -inf 
Chain 1 dis: 416.404, rho: 0 , theta: 197.733, floral[k]: -0.528865, zeta[i]: -8.23635, eps[k]: -155.019, lambda: -inf 
Chain 1 dis: 480.791, rho: 0 , theta: 197.733, floral[k]: -0.693816, zeta[i]: -8.23635, eps[k]: -263.408, lambda: -inf 
Chain 1 dis: 547.885, rho: 0 , theta: 197.733, floral[k]: 0.958341, zeta[i]: -8.23635, eps[k]: -221.843, lambda: -inf 
