[1] "Starting sampling."
Running MCMC with 4 parallel chains, with 4 thread(s) per chain...

Chain 1 Iteration:    1 / 6000 [  0%]  (Warmup) 
Chain 1 dis: 538.24, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.159276, zeta[i]: -6.80916, eps[k]: 16.4015, lambda: -inf 
Chain 1 dis: 570.277, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.85836, zeta[i]: -6.80916, eps[k]: 22.6816, lambda: -inf 
Chain 1 dis: 655.738, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.745178, zeta[i]: -6.80916, eps[k]: 18.0333, lambda: -inf 
Chain 1 dis: 706.58, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.02998, zeta[i]: -6.80916, eps[k]: 23.3181, lambda: -inf 
Chain 1 dis: 469.391, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.34103, zeta[i]: -6.80916, eps[k]: 17.0427, lambda: -inf 
Chain 1 dis: 550.095, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.18965, zeta[i]: -6.80916, eps[k]: -2139.01, lambda: -inf 
Chain 1 dis: 600.514, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.04431, zeta[i]: -6.80916, eps[k]: -13.1691, lambda: -inf 
Chain 1 dis: 402.744, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.07972, zeta[i]: -6.80916, eps[k]: -2630.43, lambda: -inf 
Chain 1 dis: 444.652, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.877506, zeta[i]: -6.80916, eps[k]: 23.5214, lambda: -inf 
Chain 1 dis: 609.718, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.958341, zeta[i]: -6.80916, eps[k]: -148.358, lambda: -inf 
Chain 1 dis: 339.599, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.0841977, zeta[i]: -6.80916, eps[k]: 10.6211, lambda: -8.83299e+138 
Chain 1 dis: 388.382, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.32583, zeta[i]: -6.80916, eps[k]: 10.4865, lambda: -inf 
Chain 1 dis: 444.527, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.644807, zeta[i]: -6.80916, eps[k]: 8.68929, lambda: -inf 
Chain 1 dis: 282.316, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.91243, zeta[i]: -6.80916, eps[k]: -138.533, lambda: -inf 
Chain 1 dis: 339.435, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.25655, zeta[i]: -6.80916, eps[k]: 22.1433, lambda: -inf 
Chain 1 dis: 402.466, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.464287, zeta[i]: -6.80916, eps[k]: 16.0554, lambda: -inf 
Chain 1 dis: 537.825, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.936751, zeta[i]: -6.80916, eps[k]: -751.113, lambda: -inf 
Chain 1 dis: 498.227, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.159276, zeta[i]: -0.825368, eps[k]: 16.4015, lambda: -inf 
Chain 1 dis: 516.603, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.85836, zeta[i]: -0.825368, eps[k]: 22.6816, lambda: -inf 
Chain 1 dis: 581.312, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.745178, zeta[i]: -0.825368, eps[k]: 18.0333, lambda: -inf 
Chain 1 dis: 624.757, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.02998, zeta[i]: -0.825368, eps[k]: 23.3181, lambda: -inf 
Chain 1 dis: 424.576, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.34103, zeta[i]: -0.825368, eps[k]: 17.0427, lambda: -inf 
Chain 1 dis: 478.341, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.18965, zeta[i]: -0.825368, eps[k]: -2139.01, lambda: -inf 
Chain 1 dis: 519.575, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.04431, zeta[i]: -0.825368, eps[k]: -13.1691, lambda: -inf 
Chain 1 dis: 351.495, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.07972, zeta[i]: -0.825368, eps[k]: -2630.43, lambda: -inf 
Chain 1 dis: 377.09, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.877506, zeta[i]: -0.825368, eps[k]: 23.5214, lambda: -inf 
Chain 1 dis: 515.402, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.958341, zeta[i]: -0.825368, eps[k]: -148.358, lambda: -inf 
Chain 1 dis: 279.434, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.0841977, zeta[i]: -0.825368, eps[k]: 10.6211, lambda: -7.26809e+138 
Chain 1 dis: 311.016, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.32583, zeta[i]: -0.825368, eps[k]: 10.4865, lambda: -inf 
Chain 1 dis: 355.849, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.644807, zeta[i]: -0.825368, eps[k]: 8.68929, lambda: -inf 
Chain 1 dis: 209.446, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.91243, zeta[i]: -0.825368, eps[k]: -138.533, lambda: -inf 
Chain 1 dis: 250.03, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.25655, zeta[i]: -0.825368, eps[k]: 22.1433, lambda: -inf 
Chain 1 dis: 303.995, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.464287, zeta[i]: -0.825368, eps[k]: 16.0554, lambda: -inf 
Chain 1 dis: 431.229, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.936751, zeta[i]: -0.825368, eps[k]: -751.113, lambda: -inf 
Chain 1 dis: 86.6785, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.159276, zeta[i]: -0.857667, eps[k]: 16.4015, lambda: -inf 
Chain 1 dis: 68.3513, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.85836, zeta[i]: -0.857667, eps[k]: 22.6816, lambda: -inf 
Chain 1 dis: 180.94, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.745178, zeta[i]: -0.857667, eps[k]: 18.0333, lambda: -inf 
Chain 1 dis: 252.286, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.02998, zeta[i]: -0.857667, eps[k]: 23.3181, lambda: -inf 
Chain 1 dis: 57.1893, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.34103, zeta[i]: -0.857667, eps[k]: 17.0427, lambda: -inf 
Chain 1 dis: 94.0111, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.18965, zeta[i]: -0.857667, eps[k]: -2139.01, lambda: -inf 
Chain 1 dis: 168.81, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.04431, zeta[i]: -0.857667, eps[k]: -13.1691, lambda: -inf 
Chain 1 dis: 101.381, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.07972, zeta[i]: -0.857667, eps[k]: -2630.43, lambda: -inf 
Chain 1 dis: 86.2368, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.877506, zeta[i]: -0.857667, eps[k]: 23.5214, lambda: -inf 
Chain 1 dis: 257.707, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.958341, zeta[i]: -0.857667, eps[k]: -148.358, lambda: -inf 
Chain 1 dis: 168.925, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.0841977, zeta[i]: -0.857667, eps[k]: 10.6211, lambda: -4.39374e+138 
Chain 1 dis: 160.294, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.32583, zeta[i]: -0.857667, eps[k]: 10.4865, lambda: -inf 
Chain 1 dis: 184.67, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.644807, zeta[i]: -0.857667, eps[k]: 8.68929, lambda: -inf 
Chain 1 dis: 240.921, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.91243, zeta[i]: -0.857667, eps[k]: -138.533, lambda: -inf 
Chain 1 dis: 234.95, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.25655, zeta[i]: -0.857667, eps[k]: 22.1433, lambda: -inf 
Chain 1 dis: 252.211, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.464287, zeta[i]: -0.857667, eps[k]: 16.0554, lambda: -inf 
Chain 1 dis: 337.902, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.936751, zeta[i]: -0.857667, eps[k]: -751.113, lambda: -inf 
Chain 1 dis: 215.518, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.159276, zeta[i]: -0.213001, eps[k]: 16.4015, lambda: -inf 
Chain 1 dis: 172.399, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.85836, zeta[i]: -0.213001, eps[k]: 22.6816, lambda: -inf 
Chain 1 dis: 173.258, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.745178, zeta[i]: -0.213001, eps[k]: 18.0333, lambda: -inf 
Chain 1 dis: 216.891, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.02998, zeta[i]: -0.213001, eps[k]: 23.3181, lambda: -inf 
Chain 1 dis: 274.643, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.34103, zeta[i]: -0.213001, eps[k]: 17.0427, lambda: -inf 
Chain 1 dis: 230.707, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.18965, zeta[i]: -0.213001, eps[k]: -2139.01, lambda: -inf 
