"site","round","sample_pt","sample_id","year","barcode_id","active_flower","final_id","notes","plate","well","date","julian_date","lat","long"
"ED",1,"ED05","1_ED05",2022,"ED1_05_01","RUPA","B. impatiens","","impatiens_DNA_11","B12",2020-05-20,140,"49.0935866","-122.9462978"
"ED",1,"ED20","1_ED20",2022,"ED1_20_01","VACO","B. mixtus","","mixtus_DNA_01","F4",2020-05-19,139,"49.1038044","-122.9295192"
"ED",1,"ED32","1_ED32",2022,"ED1_32_01","MADO","B. mixtus","","mixtus_DNA_09","B3",2020-05-20,140,"49.0910852","-122.9303897"
"ED",10,"ED01","10_ED01",2022,"ED10_01_01","CIVU","B. impatiens","","impatiens_DNA_12","A2",2020-08-21,233,"49.0954133","-122.9487118"
"ED",10,"ED01","10_ED01",2022,"ED10_01_03","CIVU","B. impatiens","","impatiens_DNA_11","B4",2020-08-21,233,"49.0954133","-122.9487118"
"ED",10,"ED01","10_ED01",2022,"ED10_01_04","BIAMP","B. impatiens","","impatiens_DNA_06","F3",2020-08-21,233,"49.0954133","-122.9487118"
"ED",10,"ED01","10_ED01",2022,"ED10_01_05","BIAMP","B. impatiens","","impatiens_DNA_12","D4",2020-08-21,233,"49.0954133","-122.9487118"
"ED",10,"ED03A","10_ED03A",2022,"ED10_03A_01","RARA","B. impatiens","","impatiens_DNA_11","F1",2020-08-21,233,"49.0974676","-122.9461089"
"ED",10,"ED04","10_ED04",2022,"ED10_04_01","TAVU","B. impatiens","","impatiens_DNA_10","H3",2020-08-21,233,"49.0927295","-122.9514265"
"ED",10,"ED06","10_ED06",2022,"ED10_06_01","JAVU","B. impatiens","","impatiens_DNA_06","D4",2020-08-21,233,"49.0937503","-122.9571174"
"ED",10,"ED08","10_ED08",2022,"ED10_08_01","HYRA","B. impatiens","","impatiens_DNA_11","C5",2020-08-21,233,"49.0997958","-122.9571976"
"ED",10,"ED09","10_ED09",2022,"ED10_09_01","TRRE","B. impatiens","","impatiens_DNA_11","D1",2020-08-21,233,"49.1028941","-122.9571922"
"ED",10,"ED09","10_ED09",2022,"ED10_09_02","TAOF","B. impatiens","","impatiens_DNA_06","F2",2020-08-21,233,"49.1028941","-122.9571922"
"ED",10,"ED09","10_ED09",2022,"ED10_09_03","TAOF","B. impatiens","","impatiens_DNA_10","H1",2020-08-21,233,"49.1028941","-122.9571922"
"ED",10,"ED09","10_ED09",2022,"ED10_09_04","TAOF","B. impatiens","","impatiens_DNA_09","G12",2020-08-21,233,"49.1028941","-122.9571922"
"ED",10,"ED09","10_ED09",2022,"ED10_09_05","TAOF","B. impatiens","","impatiens_DNA_10","A10",2020-08-21,233,"49.1028941","-122.9571922"
"ED",10,"ED09","10_ED09",2022,"ED10_09_06","TAOF","B. impatiens","","impatiens_DNA_10","C8",2020-08-21,233,"49.1028941","-122.9571922"
"ED",10,"ED10","10_ED10",2022,"ED10_10_01","HYRA","B. impatiens","","impatiens_DNA_07","H1",2020-08-21,233,"49.1053113","-122.9572629"
"ED",10,"ED10","10_ED10",2022,"ED10_10_02","N/A (leaf)","B. impatiens","","impatiens_DNA_08","F4",2020-08-21,233,"49.1053113","-122.9572629"
"ED",10,"ED11","10_ED11",2022,"ED10_11_03","MEAL","B. impatiens","","impatiens_DNA_07","G3",2020-08-21,233,"49.0998336","-122.9364988"
"ED",10,"ED11","10_ED11",2022,"ED10_11_04","flying","B. impatiens","","impatiens_DNA_10","A12",2020-08-21,233,"49.0998336","-122.9364988"
"ED",10,"ED12","10_ED12",2022,"ED10_12_01","TRRE","B. impatiens","","impatiens_DNA_11","H8",2020-08-21,233,"49.0941941","-122.9295817"
"ED",10,"ED12","10_ED12",2022,"ED10_12_02","TRRE","B. impatiens","","impatiens_DNA_12","C3",2020-08-21,233,"49.0941941","-122.9295817"
"ED",10,"ED12","10_ED12",2022,"ED10_12_03","TRRE","B. impatiens","","impatiens_DNA_09","G6",2020-08-21,233,"49.0941941","-122.9295817"
"ED",10,"ED12","10_ED12",2022,"ED10_12_04","TRRE","B. impatiens","","impatiens_DNA_06","F1",2020-08-21,233,"49.0941941","-122.9295817"
"ED",10,"ED12","10_ED12",2022,"ED10_12_05","TRRE","B. impatiens","","impatiens_DNA_06","C10",2020-08-21,233,"49.0941941","-122.9295817"
"ED",10,"ED12","10_ED12",2022,"ED10_12_06","TRRE","B. impatiens","","impatiens_DNA_10","H8",2020-08-21,233,"49.0941941","-122.9295817"
"ED",10,"ED17","10_ED17",2022,"ED10_17_01","TRIN","B. impatiens","","impatiens_DNA_11","G9",2020-08-21,233,"49.0940828","-122.9349878"
"ED",10,"ED17","10_ED17",2022,"ED10_17_02","LYSA","B. impatiens","","impatiens_DNA_11","G7",2020-08-21,233,"49.0940828","-122.9349878"
"ED",10,"ED19A","10_ED19A",2022,"ED10_19A_02","IMGL","B. impatiens","","impatiens_DNA_06","F7",2020-08-21,233,"49.0978928","-122.9307244"
"ED",10,"ED19A","10_ED19A",2022,"ED10_19A_03","IMGL","B. impatiens","","impatiens_DNA_11","F10",2020-08-21,233,"49.0978928","-122.9307244"
"ED",10,"ED19A","10_ED19A",2022,"ED10_19A_04","IMGL","B. impatiens","","impatiens_DNA_12","C9",2020-08-21,233,"49.0978928","-122.9307244"
"ED",10,"ED19A","10_ED19A",2022,"ED10_19A_05","IMGL","B. impatiens","","impatiens_DNA_06","E11",2020-08-21,233,"49.0978928","-122.9307244"
"ED",10,"ED19A","10_ED19A",2022,"ED10_19A_06","IMGL","B. impatiens","","impatiens_DNA_11","H5",2020-08-21,233,"49.0978928","-122.9307244"
"ED",10,"ED19A","10_ED19A",2022,"ED10_19A_07","IMGL","B. impatiens","","impatiens_DNA_12","C2",2020-08-21,233,"49.0978928","-122.9307244"
"ED",10,"ED19A","10_ED19A",2022,"ED10_19A_08","IMGL","B. impatiens","","impatiens_DNA_07","B12",2020-08-21,233,"49.0978928","-122.9307244"
"ED",10,"ED19A","10_ED19A",2022,"ED10_19A_09","IMGL","B. impatiens","","impatiens_DNA_07","B9",2020-08-21,233,"49.0978928","-122.9307244"
"ED",10,"ED19A","10_ED19A",2022,"ED10_19A_10","IMGL","B. impatiens","","impatiens_DNA_11","A4",2020-08-21,233,"49.0978928","-122.9307244"
"ED",10,"ED19A","10_ED19A",2022,"ED10_19A_11","IMGL","B. impatiens","","impatiens_DNA_12","D3",2020-08-21,233,"49.0978928","-122.9307244"
"ED",10,"ED19A","10_ED19A",2022,"ED10_19A_12","IMGL","B. impatiens","","impatiens_DNA_10","F5",2020-08-21,233,"49.0978928","-122.9307244"
"ED",10,"ED19A","10_ED19A",2022,"ED10_19A_13","IMGL","B. impatiens","","impatiens_DNA_11","H2",2020-08-21,233,"49.0978928","-122.9307244"
"ED",10,"ED19A","10_ED19A",2022,"ED10_19A_14","IMGL","B. impatiens","","impatiens_DNA_11","D3",2020-08-21,233,"49.0978928","-122.9307244"
"ED",10,"ED19A","10_ED19A",2022,"ED10_19A_15","IMGL","B. impatiens","","impatiens_DNA_10","H4",2020-08-21,233,"49.0978928","-122.9307244"
"ED",10,"ED19A","10_ED19A",2022,"ED10_19A_16","IMGL","B. impatiens","","impatiens_DNA_11","F12",2020-08-21,233,"49.0978928","-122.9307244"
"ED",10,"ED19A","10_ED19A",2022,"ED10_19A_17","IMGL","B. impatiens","","impatiens_DNA_11","B7",2020-08-21,233,"49.0978928","-122.9307244"
"ED",10,"ED20A","10_ED20A",2022,"ED10_20A_01","VICR","B. mixtus","","mixtus_DNA_05","G7",2020-08-21,233,"49.1046332","-122.9294281"
"ED",10,"ED21A","10_ED21A",2022,"ED10_21A_01","RULA","B. impatiens","","impatiens_DNA_08","B11",2020-08-21,233,"49.1046683","-122.9321746"
"ED",10,"ED21A","10_ED21A",2022,"ED10_21A_02","RARA","B. impatiens","","impatiens_DNA_09","A4",2020-08-21,233,"49.1046683","-122.9321746"
"ED",10,"ED21A","10_ED21A",2022,"ED10_21A_03","RARA","B. impatiens","","impatiens_DNA_10","B2",2020-08-21,233,"49.1046683","-122.9321746"
"ED",10,"ED21A","10_ED21A",2022,"ED10_21A_04","SPDO","B. impatiens","","impatiens_DNA_10","F1",2020-08-21,233,"49.1046683","-122.9321746"
"ED",10,"ED21A","10_ED21A",2022,"ED10_21A_05","SPDO","B. impatiens","","impatiens_DNA_10","F7",2020-08-21,233,"49.1046683","-122.9321746"
"ED",10,"ED21A","10_ED21A",2022,"ED10_21A_06","SPDO","B. impatiens","","impatiens_DNA_10","G1",2020-08-21,233,"49.1046683","-122.9321746"
"ED",10,"ED21A","10_ED21A",2022,"ED10_21A_07","SPDO","B. impatiens","","impatiens_DNA_10","F11",2020-08-21,233,"49.1046683","-122.9321746"
"ED",10,"ED21A","10_ED21A",2022,"ED10_21A_08","SPDO","B. mixtus","","mixtus_DNA_04","F11",2020-08-21,233,"49.1046683","-122.9321746"
"ED",10,"ED22B","10_ED22B",2022,"ED10_22B_01","SOAR","B. impatiens","","impatiens_DNA_10","F9",2020-08-21,233,"49.1046204","-122.9460145"
"ED",10,"ED22B","10_ED22B",2022,"ED10_22B_02","SOAR","B. impatiens","","impatiens_DNA_10","E9",2020-08-21,233,"49.1046204","-122.9460145"
"ED",10,"ED22B","10_ED22B",2022,"ED10_22B_03","RARA","B. impatiens","","impatiens_DNA_10","E11",2020-08-21,233,"49.1046204","-122.9460145"
"ED",10,"ED22B","10_ED22B",2022,"ED10_22B_04","RARA","B. impatiens","","impatiens_DNA_10","A11",2020-08-21,233,"49.1046204","-122.9460145"
"ED",10,"ED22B","10_ED22B",2022,"ED10_22B_05","TRHY","B. impatiens","","impatiens_DNA_12","E2",2020-08-21,233,"49.1046204","-122.9460145"
"ED",10,"ED22B","10_ED22B",2022,"ED10_22B_06","VICR","B. impatiens","","impatiens_DNA_10","E12",2020-08-21,233,"49.1046204","-122.9460145"
"ED",10,"ED23A","10_ED23A",2022,"ED10_23A_01","TRHY","B. impatiens","","impatiens_DNA_10","F3",2020-08-21,233,"49.1010173","-122.9460843"
"ED",10,"ED24A","10_ED24A",2022,"ED10_24A_01","HYRA","B. impatiens","","impatiens_DNA_06","D1",2020-08-21,233,"49.1046616","-122.940654"
"ED",10,"ED24A","10_ED24A",2022,"ED10_24A_02","HYRA","B. impatiens","","impatiens_DNA_12","D8",2020-08-21,233,"49.1046616","-122.940654"
"ED",10,"ED24A","10_ED24A",2022,"ED10_24A_03","HYRA","B. impatiens","","impatiens_DNA_12","B4",2020-08-21,233,"49.1046616","-122.940654"
"ED",10,"ED24A","10_ED24A",2022,"ED10_24A_04","HYRA","B. impatiens","","impatiens_DNA_12","D7",2020-08-21,233,"49.1046616","-122.940654"
"ED",10,"ED24A","10_ED24A",2022,"ED10_24A_05","TRRE","B. impatiens","","impatiens_DNA_05","E8",2020-08-21,233,"49.1046616","-122.940654"
"ED",10,"ED24A","10_ED24A",2022,"ED10_24A_06","RASA","B. impatiens","","impatiens_DNA_11","C8",2020-08-21,233,"49.1046616","-122.940654"
"ED",10,"ED25A","10_ED25A",2022,"ED10_25A_01","LYSA","B. impatiens","","impatiens_DNA_05","H11",2020-08-21,233,"49.1009682","-122.9383971"
"ED",10,"ED25A","10_ED25A",2022,"ED10_25A_02","LYSA","B. impatiens","","impatiens_DNA_12","C8",2020-08-21,233,"49.1009682","-122.9383971"
"ED",10,"ED25A","10_ED25A",2022,"ED10_25A_03","LYSA","B. impatiens","","impatiens_DNA_12","B8",2020-08-21,233,"49.1009682","-122.9383971"
"ED",10,"ED29","10_ED29",2022,"ED10_29_01","TAVU","B. impatiens","","impatiens_DNA_10","H5",2020-08-21,233,"49.0946604","-122.9406617"
"ED",10,"ED29","10_ED29",2022,"ED10_29_02","LYSA","B. impatiens","","impatiens_DNA_06","F11",2020-08-21,233,"49.0946604","-122.9406617"
"ED",10,"ED29","10_ED29",2022,"ED10_29_03","LYSA","B. impatiens","","impatiens_DNA_11","E12",2020-08-21,233,"49.0946604","-122.9406617"
"ED",10,"ED29","10_ED29",2022,"ED10_29_04","LYSA","B. impatiens","","impatiens_DNA_10","G12",2020-08-21,233,"49.0946604","-122.9406617"
"ED",10,"ED29","10_ED29",2022,"ED10_29_05","LYSA","B. impatiens","","impatiens_DNA_11","C7",2020-08-21,233,"49.0946604","-122.9406617"
"ED",10,"ED29","10_ED29",2022,"ED10_29_06","LYSA","B. mixtus","","mixtus_DNA_05","E10",2020-08-21,233,"49.0946604","-122.9406617"
"ED",10,"ED29","10_ED29",2022,"ED10_29_07","LYSA","B. impatiens","","impatiens_DNA_11","F2",2020-08-21,233,"49.0946604","-122.9406617"
"ED",10,"ED32","10_ED32",2022,"ED10_32_01","TRRE","B. impatiens","","impatiens_DNA_08","G9",2020-08-21,233,"49.0910852","-122.9303897"
"ED",10,"ED32","10_ED32",2022,"ED10_32_02","TRRE","B. impatiens","","impatiens_DNA_05","E9",2020-08-21,233,"49.0910852","-122.9303897"
"ED",10,"ED32","10_ED32",2022,"ED10_32_03","TRRE","B. impatiens","","impatiens_DNA_11","F7",2020-08-21,233,"49.0910852","-122.9303897"
"ED",10,"ED32","10_ED32",2022,"ED10_32_04","TRRE","B. impatiens","","impatiens_DNA_07","E5",2020-08-21,233,"49.0910852","-122.9303897"
"ED",2,"ED02","2_ED02",2022,"ED2_02_01","RAAC","B. impatiens","","impatiens_DNA_05","E7",2020-06-06,157,"49.0907749","-122.9404472"
"ED",2,"ED02","2_ED02",2022,"ED2_02_02","RAAC","B. impatiens","","impatiens_DNA_06","E12",2020-06-06,157,"49.0907749","-122.9404472"
"ED",2,"ED06","2_ED06",2022,"ED2_06_01","VISA","B. sitkensis","","mixtus_DNA_09","C9",2020-06-06,157,"49.0937503","-122.9571174"
"ED",2,"ED16","2_ED16",2022,"ED2_16_01","RONU","B. mixtus","","mixtus_DNA_09","C8",2020-06-06,157,"49.0908698","-122.9480405"
"ED",2,"ED28","2_ED28",2022,"ED2_28_02","ROCA","B. impatiens","","impatiens_DNA_05","E6",2020-06-06,157,"49.1002867","-122.9346774"
"ED",2,"ED28","2_ED28",2022,"ED2_28_03","RHPO","B. mixtus","","mixtus_DNA_09","B7",2020-06-06,157,"49.1002867","-122.9346774"
"ED",3,"ED01","3_ED01",2022,"ED3_01_03","SIAR","B. mixtus","","mixtus_DNA_08","F1",2020-06-16,167,"49.0954133","-122.9487118"
"ED",3,"ED03A","3_ED03A",2022,"ED3_03A_01","RARA","B. sitkensis","","mixtus_DNA_08","E4",2020-06-16,167,"49.0974676","-122.9461089"
"ED",3,"ED06","3_ED06",2022,"ED3_06_01","TRRE","B. mixtus","","mixtus_DNA_08","H4",2020-06-16,167,"49.0937503","-122.9571174"
"ED",3,"ED12","3_ED12",2022,"ED3_12_01","RONU","B. impatiens","","impatiens_DNA_08","B12",2020-06-16,167,"49.0941941","-122.9295817"
"ED",3,"ED12","3_ED12",2022,"ED3_12_02","RONU","B. impatiens","","impatiens_DNA_12","A1",2020-06-16,167,"49.0941941","-122.9295817"
"ED",3,"ED17","3_ED17",2022,"ED3_17_01","dipu","B. impatiens","","impatiens_DNA_07","F9",2020-06-16,167,"49.0940828","-122.9349878"
"ED",3,"ED20A","3_ED20A",2022,"ED3_20A_01","TRHY","B. impatiens","","impatiens_DNA_05","G5",2020-06-16,167,"49.1046332","-122.9294281"
"ED",3,"ED20A","3_ED20A",2022,"ED3_20A_04","TRHY","B. mixtus","","mixtus_DNA_08","H7",2020-06-16,167,"49.1046332","-122.9294281"
"ED",3,"ED21A","3_ED21A",2022,"ED3_21A_01","RULA","B. mixtus","","mixtus_DNA_08","E6",2020-06-16,167,"49.1046683","-122.9321746"
"ED",3,"ED25B","3_ED25B",2022,"ED3_25B_02","N/A","B. mixtus","","mixtus_DNA_08","F8",2020-06-16,167,"49.10081","-122.9371909"
"ED",3,"ED27","3_ED27",2022,"ED3_27_01","VISA","B. mixtus","","mixtus_DNA_08","F12",2020-06-16,167,"49.1002059","-122.9312067"
"ED",3,"ED27","3_ED27",2022,"ED3_27_02","VISA","B. mixtus","","mixtus_DNA_08","F2",2020-06-16,167,"49.1002059","-122.9312067"
"ED",3,"ED27","3_ED27",2022,"ED3_27_05","VISA","B. mixtus","","mixtus_DNA_08","F3",2020-06-16,167,"49.1002059","-122.9312067"
"ED",3,"ED28","3_ED28",2022,"ED3_28_01","AQVU","B. mixtus","","mixtus_DNA_08","E5",2020-06-16,167,"49.1002867","-122.9346774"
"ED",3,"ED28","3_ED28",2022,"ED3_28_02","ROCA","B. impatiens","","impatiens_DNA_06","E7",2020-06-16,167,"49.1002867","-122.9346774"
"ED",3,"ED28","3_ED28",2022,"ED3_28_03","CAPO","B. impatiens","","impatiens_DNA_06","D2",2020-06-16,167,"49.1002867","-122.9346774"
"ED",3,"ED31","3_ED31",2022,"ED3_31_01","DIPU","B. impatiens","","impatiens_DNA_07","D9",2020-06-16,167,"49.091685","-122.9349074"
"ED",3,"ED31","3_ED31",2022,"ED3_31_02","nest","B. mixtus","nest 50 m south of red barn","mixtus_DNA_08","F5",2020-06-16,167,"49.091685","-122.9349074"
"ED",4,"ED10","4_ED10",2022,"ED4_10_02","RUAR","B. mixtus","","mixtus_DNA_01","C5",2020-06-27,178,"49.1053113","-122.9572629"
"ED",4,"ED10","4_ED10",2022,"ED4_10_03","RUAR","B. mixtus","","mixtus_DNA_01","D12",2020-06-27,178,"49.1053113","-122.9572629"
"ED",4,"ED10","4_ED10",2022,"ED4_10_04","RUAR","B. mixtus","","mixtus_DNA_01","D6",2020-06-27,178,"49.1053113","-122.9572629"
"ED",4,"ED10","4_ED10",2022,"ED4_10_05","RUAR","B. mixtus","","mixtus_DNA_01","C9",2020-06-27,178,"49.1053113","-122.9572629"
"ED",4,"ED10","4_ED10",2022,"ED4_10_06","RUAR","B. mixtus","","mixtus_DNA_01","D5",2020-06-27,178,"49.1053113","-122.9572629"
