"","individual","truecolony","BT10_1","BT10_2","B96_1","B96_2","BTMS0059_1","BTMS0059_2","BTMS0081_1","BTMS0081_2","BTMS0062_1","BTMS0062_2","B126_1","B126_2","BTERN01_1","BTERN01_2","B124_1","B124_2","BTMS0057_1","BTMS0057_2","BT30_1","BT30_2","B10_1","B10_2","BTMS0083_1","BTMS0083_2"
"762","Ind762",7514,153,157,246,242,339,339,312,312,288,286,170,176,135,135,275,271,124,120,191,191,206,200,282,294
"1063","Ind1063",10552,165,175,248,242,355,355,312,312,298,258,170,170,135,139,263,271,120,118,191,191,208,238,300,292
"1577","Ind1577",15871,157,179,240,242,355,355,312,312,252,272,176,178,135,135,269,271,116,124,191,191,210,198,282,294
"496","Ind496",4976,173,171,0,0,363,339,312,312,272,278,168,170,143,135,259,263,124,124,191,191,206,204,294,290
"1399","Ind1399",14127,177,137,246,254,339,355,312,308,278,278,170,178,135,135,263,265,126,116,191,191,200,204,290,288
"1052","Ind1052",10399,153,173,238,242,355,355,312,312,266,290,170,164,135,133,267,257,124,118,191,191,198,238,290,288
"1460","Ind1460",14718,169,165,242,242,359,355,308,312,268,278,178,170,135,135,259,257,116,110,191,191,206,206,282,300
"1515","Ind1515",15272,143,165,246,252,355,355,308,312,286,272,170,170,135,147,259,271,118,124,191,191,214,190,282,292
"426","Ind426",4396,157,0,242,242,355,355,312,312,248,258,172,170,135,141,263,267,116,130,191,191,206,198,308,290
"1700","Ind1700",17062,171,169,242,240,339,355,312,312,298,298,176,178,143,135,271,263,124,116,191,188,214,206,294,290
"1150","Ind1150",11606,169,159,242,246,359,355,312,312,278,278,170,180,141,135,267,265,124,116,191,191,210,198,282,286
"502","Ind502",5003,167,177,254,244,339,359,312,312,248,278,170,164,143,135,259,267,120,124,191,188,198,200,284,290
"1212","Ind1212",12271,0,0,240,242,355,359,308,312,290,252,178,174,147,133,263,0,124,112,200,191,198,206,282,288
"746","Ind746",7338,173,165,240,242,355,359,312,312,288,278,168,170,135,135,265,263,112,124,191,191,198,198,294,286
"564","Ind564",5485,167,157,242,242,339,363,312,308,258,258,168,176,137,143,265,263,124,120,191,191,198,208,294,294
"873","Ind873",8625,187,157,246,238,355,355,312,308,252,248,172,170,137,135,265,265,124,124,191,188,204,198,286,282
"40","Ind40",508,169,157,242,246,355,355,308,312,272,254,170,170,137,135,267,265,112,112,188,188,206,212,318,290
"534","Ind534",5262,165,153,262,240,339,355,312,308,252,0,170,178,137,143,267,271,120,120,200,191,206,206,282,306
"1864","Ind1864",18740,171,165,246,246,359,339,312,312,272,294,168,168,143,137,275,271,126,120,191,191,198,206,290,286
"533","Ind533",5248,157,151,242,238,355,355,312,312,306,268,172,168,139,141,267,265,124,122,191,191,206,196,286,288
"1366","Ind1366",13743,159,157,242,240,355,355,312,312,278,286,170,178,133,147,267,269,116,112,188,191,198,198,306,282
"1388","Ind1388",14046,157,0,254,240,355,339,312,312,266,278,178,168,135,135,267,271,120,122,188,191,206,208,282,294
"1329","Ind1329",13344,159,177,248,242,355,355,312,308,278,248,172,170,143,137,265,261,116,120,194,191,204,190,282,318
"582","Ind582",5715,155,161,240,242,339,359,308,308,292,252,170,170,135,143,273,259,120,124,200,185,214,212,292,278
"1318","Ind1318",13260,157,157,242,242,355,355,312,308,288,272,178,168,141,147,263,265,126,120,191,191,204,198,290,286
"264","Ind264",2681,157,159,240,242,355,339,312,308,278,278,178,170,135,0,271,263,120,126,191,191,198,214,278,278
"530","Ind530",5247,165,151,242,242,355,355,308,312,292,290,164,166,135,137,259,259,120,120,191,191,210,206,292,282
"722","Ind722",7114,143,0,242,240,359,339,308,312,300,278,170,170,135,133,261,269,120,120,191,191,200,206,318,290
"1472","Ind1472",14851,157,171,242,240,355,359,312,308,252,272,168,170,135,135,265,275,116,124,191,191,196,198,294,300
"241","Ind241",2489,157,153,246,240,355,355,312,312,248,268,168,168,135,141,271,263,124,116,188,191,206,198,288,290
"1936","Ind1936",19468,169,165,240,254,339,355,312,308,252,266,178,176,135,137,267,267,124,120,191,191,206,198,280,292
"799","Ind799",7943,157,169,240,246,355,355,308,312,296,296,174,168,139,137,265,265,112,130,188,188,206,206,290,282
"967","Ind967",9552,157,171,242,246,355,355,308,312,252,296,176,170,137,135,265,275,120,120,191,185,206,206,282,292
"1164","Ind1164",11839,165,155,242,240,355,355,0,0,252,278,172,178,141,137,269,271,120,120,191,188,208,206,282,300
"360","Ind360",3636,153,153,242,242,355,355,308,312,266,278,168,170,137,137,259,269,120,124,191,188,198,190,282,298
"1390","Ind1390",14062,163,163,246,240,355,355,312,308,258,278,176,168,135,135,275,259,124,130,191,191,206,198,292,282
"454","Ind454",4660,153,161,238,248,359,359,312,308,272,288,172,170,135,139,267,267,118,120,188,200,206,204,288,0
"1096","Ind1096",11026,157,175,254,278,355,339,308,308,252,278,168,168,133,141,269,265,130,124,188,191,208,206,292,290
"1969","Ind1969",19785,157,151,240,242,355,355,312,308,286,294,164,164,143,141,259,303,124,126,188,185,206,196,294,280
"1355","Ind1355",13670,143,159,254,240,355,355,308,308,286,0,178,170,135,137,303,265,124,118,191,188,198,198,298,298
"45","Ind45",570,161,169,248,246,355,355,312,312,298,296,168,168,141,135,269,271,124,118,191,191,206,206,294,318
"1512","Ind1512",15266,163,173,246,240,355,355,312,312,292,272,170,178,141,135,271,271,124,120,188,191,206,214,294,282
"1591","Ind1591",16038,159,159,242,254,339,355,312,312,292,252,176,164,137,135,267,257,120,118,191,191,214,206,294,292
"881","Ind881",8686,153,161,252,240,355,339,312,308,248,272,168,178,135,133,267,265,124,122,191,191,200,206,286,292
"260","Ind260",2660,143,155,244,246,339,359,312,308,248,278,168,168,147,139,259,263,124,130,191,188,238,198,306,284
"1270","Ind1270",12701,157,175,240,246,355,355,312,312,272,248,178,168,135,135,259,0,126,122,191,188,190,206,298,294
"472","Ind472",4814,153,167,240,246,355,355,312,312,286,272,176,178,135,133,267,261,118,120,185,191,210,206,318,282
"1239","Ind1239",12481,171,153,242,248,359,355,308,312,272,272,172,180,135,135,271,303,130,120,200,191,206,198,280,290
"415","Ind415",4269,157,165,246,242,355,355,312,308,288,258,168,176,137,135,269,263,120,118,188,191,212,206,298,282
"1471","Ind1471",14851,165,171,252,240,355,359,312,308,292,272,178,170,135,135,275,275,116,124,191,191,196,198,318,300
