Name,BTERN01 - 1,BTERN01 - 2,B124 - 1,B124 - 2,BTMS0057 - 1,BTMS0057 - 2,BT30 - 1,BT30 - 2,B10 - 1,B10 - 2,BTMS0083 - 1,BTMS0083 - 2,BTMS0073 - 1,BTMS0073 - 2,BT28 - 1,BT28 - 2
2_ED1_05_01_B12,135,135,269,303,120,124,191,191,190,198,280,294,130,130,183,183
2_ED2_02_01_E07,135,135,257,273,122,124,191,191,190,200,280,294,130,130,183,183
2_ED2_02_02_E12,135,137,259,261,120,126,191,191,206,206,294,306,130,133,183,183
2_ED2_28_02_C04,135,139,257,265,116,116,185,188,190,206,288,294,130,130,183,183
2_ED3_12_01_B12,137,143,263,267,124,124,188,191,198,206,282,306,130,130,183,183
2_ED3_12_02_A01,135,139,263,267,124,124,188,188,198,210,290,294,130,133,183,183
2_ED3_17_01_F09,135,137,261,267,120,126,191,200,198,206,290,292,130,130,183,183
2_ED3_20A_01_G05,135,141,267,303,120,120,188,188,206,214,290,290,130,130,183,183
2_ED3_28_02_E07,133,137,265,275,116,116,188,191,198,210,290,308,130,130,183,183
2_ED3_28_03_D02,135,139,257,259,112,124,188,191,206,206,288,318,130,130,183,183
2_ED3_31_01_D09,141,143,265,267,124,130,191,191,200,204,292,306,130,130,183,189
2_ED4_10_07_F08,137,137,263,265,116,120,188,191,206,216,282,282,130,130,183,183
2_ED4_12_01_H12,135,137,257,263,112,124,191,191,206,210,278,294,130,130,183,183
2_ED4_12_02_H07,135,135,263,263,118,120,191,191,204,206,290,298,130,130,183,183
2_ED4_13_01_H10,135,141,259,267,112,116,191,191,184,206,294,308,130,130,183,183
2_ED4_31_01_H01,133,137,,,112,120,191,191,200,206,290,290,130,130,183,204
2_ED5_01_03_H11,139,141,263,267,112,116,191,191,206,214,288,302,130,130,183,183
2_ED5_07_02_H08,133,143,259,267,120,124,188,191,198,206,280,294,130,130,183,183
2_ED5_10_02_A12,137,147,263,265,112,116,188,191,206,210,282,294,130,130,183,189
2_ED5_10_05_A10,133,135,259,263,118,120,191,194,206,206,280,282,130,130,183,183
2_ED5_10_07_C06,135,137,269,271,118,124,188,188,204,204,290,298,130,130,183,183
2_ED5_11_02_A01,135,137,267,269,120,120,188,191,204,206,292,300,127,130,183,183
2_ED5_11_03_A06,139,143,257,263,124,124,191,191,190,198,298,306,130,130,183,183
2_ED5_15_01_F06,143,143,265,265,120,120,191,191,210,210,320,320,130,130,183,183
2_ED5_22B_01_E07,135,137,265,271,120,124,188,191,198,206,282,290,130,130,183,183
2_ED5_24A_01_G05,135,139,269,275,124,124,188,191,206,206,282,290,130,130,183,183
2_ED5_27_08_F12,135,143,269,303,116,124,191,191,200,210,292,294,130,130,183,183
2_ED5_27A_02_G11,133,139,259,275,120,122,191,191,198,206,290,308,130,130,183,183
2_ED5_32_03_A01,135,137,259,267,120,120,191,194,198,210,286,306,130,130,183,183
2_ED6_01_01_G08,135,139,261,263,124,126,191,191,190,206,298,318,130,130,183,189
2_ED6_01_04_G09,141,143,269,287,112,120,188,188,198,210,292,294,130,130,183,183
2_ED6_01_05_C10,135,139,259,271,112,120,191,191,214,214,286,300,130,130,183,183
2_ED6_01_06_D08,135,135,257,263,118,120,191,200,206,210,292,294,130,130,183,189
2_ED6_01_07_D06,135,135,257,303,122,124,188,191,206,256,288,290,130,130,183,183
2_ED6_02_01_D07,133,143,261,271,120,120,191,200,200,206,292,294,130,130,183,183
2_ED6_05_01_E02,137,143,267,267,120,124,191,191,210,214,290,300,130,130,183,183
2_ED6_06_05_F05,137,141,267,287,120,120,188,188,198,210,282,284,130,130,183,183
2_ED6_07_03_A03,133,137,267,269,120,130,191,191,206,216,284,294,130,130,183,183
2_ED6_09_01_A04,135,141,263,267,116,124,188,191,198,200,284,290,130,130,183,183
2_ED6_09_02_E04,137,141,265,271,112,118,188,191,198,200,282,294,130,130,183,183
2_ED6_09_03_G10,137,141,267,269,120,120,191,191,204,210,290,290,130,130,183,183
2_ED6_09_05_E08,137,137,267,275,118,130,191,191,198,198,282,290,130,130,183,183
2_ED6_12_03_G01,133,133,267,269,112,120,191,191,198,210,286,298,130,130,183,183
